name,spacegroup,international,point_group,topo_type,magnetism,Q1,Q2,Q3,N_eff,verdict,note
Bi2Se3纳米线,166,R-3m,D3d,z2_ti,NM,PASS,PASS,PASS,7,GREEN,超导候选
Bi2Te3,166,R-3m,D3d,z2_ti,NM,PASS,PASS,PASS,7,GREEN,超导候选
Sb2Te3,166,R-3m,D3d,z2_ti,NM,PASS,PASS,PASS,7,GREEN,超导候选
SnTe纳米线,225,Fm-3m,Oh,tci,NM,PASS,PASS,PASS,5,GREEN,超导候选
PbTe,225,Fm-3m,Oh,tci,NM,PASS,PASS,PASS,5,GREEN,超导候选
PbSe,225,Fm-3m,Oh,tci,NM,PASS,PASS,PASS,5,GREEN,超导候选
YPtBi,216,F-43m,Td,noncentro_ti,NM,PASS,PASS,PASS,3,GREEN,超导候选
LuPtBi,216,F-43m,Td,noncentro_ti,NM,PASS,PASS,PASS,3,GREEN,超导候选
MnBi2Te4,166,R-3m,D3d,afm_ti,AFM,PASS,PASS,COND,7,YELLOW,需γ_mag/g_pair修正
PrOs4Sb12,204,Im-3,Th,z2_ti,NM,PASS,PASS,PASS,3,GREEN,超导候选
Cu,225,Fm-3m,Oh,normal_metal,NM,FAIL,FAIL,PASS,5,RED,拓扑缺失
Fe,229,Im-3m,Oh,normal_metal,FM,FAIL,FAIL,FAIL,3,RED,拓扑缺失
Si,227,Fd-3m,Oh,normal_semiconductor,NM,FAIL,FAIL,PASS,7,RED,拓扑缺失
SiO2,154,P3_221,D3,normal_insulator,NM,FAIL,FAIL,PASS,1,RED,拓扑缺失
Fe2O3,167,R-3c,D3d,normal_insulator,AFM,FAIL,FAIL,COND,3,RED,拓扑缺失
Sr2RuO4,139,I4/mmm,D4h,normal_metal,NM,FAIL,FAIL,PASS,1,RED,拓扑缺失
UTe2,71,Immm,D2h,normal_metal,NM,FAIL,FAIL,PASS,1,RED,拓扑缺失
SnTe体材料,225,Fm-3m,Oh,normal_metal,NM,FAIL,FAIL,PASS,5,RED,拓扑缺失
LaFeAsO,129,P4/nmm,D4h,normal_metal,AFM,FAIL,FAIL,COND,3,RED,拓扑缺失
